train_loss,train_acc,train_f1,train_mcc,train_dice,val_loss,val_acc,val_f1,val_mcc,val_dice
0.41739354385593075,0.7372822131367675,0.8329954995793306,0.26175864542170335,0.8329954995793306,0.40298654781124454,0.7728225704356506,0.8563429942795786,0.28697792271088796,0.8563429942795786
0.40090733718096727,0.7777598898232093,0.8647455434303296,0.28724039742775304,0.8647455434303296,0.3898792606059129,0.7990671269074759,0.8760146343692092,0.3050960899077597,0.8760146343692091
0.39046020042605517,0.799012975190464,0.8802225708881779,0.3034652528171585,0.8802225708881779,0.379547056143846,0.8191888804571575,0.8930471367209646,0.3191885255007065,0.8930471367209646
0.3816919472159409,0.8136566239624274,0.8900545719488548,0.3074302429529126,0.8900545719488548,0.37425206637964015,0.8262790964859195,0.8991525541840171,0.3176298500614428,0.8991525541840173
0.3760121285430784,0.8233007520502645,0.8980570589941104,0.31478069812143844,0.8980570589941104,0.37003393047224215,0.8333158925776291,0.9039798283451828,0.3209426847704443,0.9039798283451829
0.37058719386899375,0.8302943731243565,0.9027495602695633,0.3100241177375206,0.9027495602695633,0.3667031061358568,0.8354241506412954,0.9063744064158777,0.30902921309242826,0.9063744064158776
0.36725213081856084,0.8366908617513983,0.9075656779529405,0.31868241443028067,0.9075656779529405,0.3635428194108048,0.8405531963782746,0.9093496630337731,0.3126461283588112,0.9093496630337731
0.36397095521291095,0.8405122167005359,0.9097145272250569,0.3097055153245194,0.9097145272250569,0.3593812686641042,0.8434781208768772,0.9118496306893896,0.3050275032105595,0.9118496306893896
0.36126554787643556,0.8411620373046788,0.910748075076143,0.30013897236696324,0.910748075076143,0.3578148692604003,0.8457781052899641,0.9133138922806814,0.2964441971466894,0.9133138922806814
0.3593755146352256,0.8459559278201519,0.9137588176867018,0.30490771963535346,0.9137588176867019,0.3572176573722343,0.8475014470948702,0.9146033907488834,0.29742215398573735,0.9146033907488834
0.3563338227388335,0.847156778733889,0.9146039450657332,0.2986654700245936,0.9146039450657332,0.3547165088537263,0.8489079281772606,0.9157700876626721,0.291110998518713,0.9157700876626721
0.3557500238341045,0.8470499388597844,0.9150409542135703,0.29373906768778185,0.9150409542135703,0.3524492775521627,0.8511032680561217,0.9171630840997066,0.2926055123503031,0.9171630840997067
0.3533527831721112,0.8504256398135132,0.9169379855061869,0.2971629953279836,0.9169379855061869,0.3518611546454391,0.8519082260117041,0.9176223010648612,0.2895855366231251,0.9176223010648612
0.35190062794258925,0.8510857053370908,0.9172472004708193,0.292184744441556,0.9172472004708193,0.3507950068489323,0.8528807615780396,0.918386928354775,0.28579983446047785,0.918386928354775
0.3506369522916592,0.8509891103824209,0.9176230038596804,0.2843774120207048,0.9176230038596803,0.35001939292845685,0.853236406638415,0.9188700190242522,0.28311666202906005,0.9188700190242522
0.3496578893041223,0.8531815231414436,0.9190213684867194,0.2886120643444087,0.9190213684867194,0.34874902556582194,0.8541891841458408,0.9195061823717136,0.2747377073182236,0.9195061823717136
0.34907451393158456,0.8538123174666363,0.919377289958295,0.2839729969834025,0.9193772899582952,0.34709906626523024,0.8557683652987016,0.920478405493537,0.2750362114848487,0.920478405493537
0.34785126719048354,0.8545323889469028,0.9197373851475701,0.27755484398443264,0.9197373851475701,0.34631055108899994,0.8549751158224731,0.9200594886706769,0.26236321984833316,0.9200594886706769
0.34607196581072924,0.8560449781234382,0.9206602134520636,0.2766660781564327,0.9206602134520637,0.34628965214985175,0.8557881233576113,0.9207562471492662,0.2630009466352822,0.9207562471492663
0.34567090408588813,0.8555188283324711,0.9205741394235671,0.26524306835918743,0.9205741394235671,0.34525185920358675,0.8558913043319178,0.9210603728657166,0.26654475570457886,0.9210603728657168
